,movie,year,imdb,metascore,votes,n_imdb
1845,Mission: Impossible - Ghost Protocol,2011,7.4,73,385304,74.0
1846,Horrible Bosses,2011,6.9,57,371243,69.0
1847,Sherlock Holmes: A Game of Shadows,2011,7.5,48,360640,75.0
1848,Warrior,2011,8.2,71,359707,82.0
1849,The Girl with the Dragon Tattoo,2011,7.8,71,351538,78.0
1850,The Help,2011,8.1,62,346127,81.0
1851,Transformers: Dark of the Moon,2011,6.3,42,342462,63.0
1852,Midnight in Paris,2011,7.7,81,323452,77.0
1853,In Time,2011,6.7,53,321563,67.0
1854,Fast Five,2011,7.3,66,304043,73.0
1855,Super 8,2011,7.0,72,300884,70.0
1856,Moneyball,2011,7.6,87,299533,76.0
1857,Friends with Benefits,2011,6.6,63,289087,66.0
1858,50/50,2011,7.7,72,283413,77.0
1859,Real Steel,2011,7.1,56,266238,71.0
1860,Hugo,2011,7.5,83,261292,75.0
1861,Green Lantern,2011,5.6,39,233609,56.0
1862,Bridesmaids,2011,6.8,75,229840,68.0
1863,Unknown,2011,6.9,56,219891,69.0
1864,The Grey,2011,6.8,64,212555,68.0
1865,The Descendants,2011,7.3,84,212298,73.0
1866,The Adjustment Bureau,2011,7.1,60,210002,71.0
1867,Sucker Punch,2011,6.1,33,206256,61.0
1868,I Am Number Four,2011,6.1,36,203934,61.0
1869,Paul,2011,7.0,57,203267,70.0
1870,The Artist,2011,7.9,89,200950,79.0
1871,Kung Fu Panda 2,2011,7.3,67,199922,73.0
1872,The Ides of March,2011,7.1,67,197212,71.0
1873,Rango,2011,7.2,75,195956,72.0
1874,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,191549,49.0
1875,Contagion,2011,6.6,70,188209,66.0
1876,The Adventures of Tintin,2011,7.4,68,186109,74.0
1877,Just Go with It,2011,6.4,33,183698,64.0
1878,The Lincoln Lawyer,2011,7.3,63,182981,73.0
1879,Cowboys & Aliens,2011,6.0,50,180817,60.0
1880,No Strings Attached,2011,6.2,50,179806,62.0
1881,Rio,2011,6.9,63,175349,69.0
1882,Bad Teacher,2011,5.7,47,168071,57.0
1883,A Separation,2011,8.4,95,167559,84.0
1884,Hanna,2011,6.8,65,165252,68.0
1885,Battle Los Angeles,2011,5.8,37,159838,58.0
1886,The Raid: Redemption,2011,7.6,73,158930,76.0
1887,Tinker Tailor Soldier Spy,2011,7.1,85,158364,71.0
1888,Shame,2011,7.2,72,156529,72.0
1889,The Tree of Life,2011,6.8,85,144652,68.0
1890,Immortals,2011,6.0,46,143779,60.0
1891,The Change-Up,2011,6.3,39,142740,63.0
1892,The Green Hornet,2011,5.8,39,141041,58.0
1893,Melancholia,2011,7.1,80,138386,71.0
1894,The Mechanic,2011,6.6,49,130001,66.0
1895,War Horse,2011,7.2,72,123707,72.0
1896,Puss in Boots,2011,6.7,65,121281,67.0
1897,We Bought a Zoo,2011,7.1,58,117762,71.0
1898,Tower Heist,2011,6.2,59,115411,62.0
1899,One Day,2011,7.0,48,114789,70.0
1900,Cars 2,2011,6.2,57,113665,62.0
1901,Killer Elite,2011,6.5,44,110497,65.0
1902,The Skin I Live In,2011,7.6,70,110138,76.0
1903,Scream 4,2011,6.2,52,109305,62.0
1904,J. Edgar,2011,6.6,59,107940,66.0
1905,Hall Pass,2011,5.9,45,107363,59.0
1906,We Need to Talk About Kevin,2011,7.5,68,106594,75.0
1907,Carnage,2011,7.2,61,102393,72.0
1908,Priest,2011,5.7,41,101314,57.0
1909,The Thing,2011,6.2,49,101252,62.0
1910,Water for Elephants,2011,6.9,52,99311,69.0
1911,Margin Call,2011,7.1,76,98521,71.0
1912,Red Riding Hood,2011,5.4,29,95662,54.0
1913,Johnny English Reborn,2011,6.3,46,94749,63.0
1914,Ghost Rider: Spirit of Vengeance,2011,4.3,33,93441,43.0
1915,The Three Musketeers,2011,5.8,35,92978,58.0
1916,The Rum Diary,2011,6.2,56,89991,62.0
1917,Final Destination 5,2011,5.9,50,88763,59.0
1918,Fright Night,2011,6.4,64,88665,64.0
1919,Your Highness,2011,5.6,31,88386,56.0
1920,The Iron Lady,2011,6.4,54,87862,64.0
1921,Extremely Loud & Incredibly Close,2011,6.9,46,86619,69.0
1922,Attack the Block,2011,6.6,75,86509,66.0
1923,A Dangerous Method,2011,6.5,76,85911,65.0
1924,Conan the Barbarian,2011,5.2,36,85310,52.0
1925,Drive Angry,2011,5.5,44,84892,55.0
1926,Headhunters,2011,7.6,72,84210,76.0
1927,30 Minutes or Less,2011,6.1,49,81796,61.0
1928,Colombiana,2011,6.4,45,80381,64.0
1929,Paranormal Activity 3,2011,5.8,59,80183,58.0
1930,Season of the Witch,2011,5.4,28,79684,54.0
1931,The Rite,2011,6.0,38,79378,60.0
1932,The Best Exotic Marigold Hotel,2011,7.3,62,79330,73.0
1933,The Muppets,2011,7.1,75,77897,71.0
1934,Another Earth,2011,7.0,66,77833,70.0
1935,Our Idiot Brother,2011,6.4,60,77520,64.0
1936,Take Shelter,2011,7.4,85,75045,74.0
1937,Haywire,2011,5.8,67,74904,58.0
1938,My Week with Marilyn,2011,7.0,65,74844,70.0
1939,Justin Bieber: Never Say Never,2011,1.6,52,74621,16.0
1940,Goon,2011,6.8,64,73957,68.0
1941,Mr. Popper's Penguins,2011,6.0,53,72152,60.0
1942,The Smurfs,2011,5.5,30,70924,55.0
1943,New Year's Eve,2011,5.7,22,70360,57.0
1944,The Guard,2011,7.3,78,68609,73.0
1945,You're Next,2011,6.5,66,68517,65.0
1946,Jane Eyre,2011,7.4,76,68160,74.0
1947,Abduction,2011,5.1,25,67793,51.0
1948,Beastly,2011,5.6,40,67675,56.0
1949,Young Adult,2011,6.3,71,67476,63.0
1950,The Inbetweeners Movie,2011,6.8,44,67443,68.0
1951,Jack and Jill,2011,3.4,23,64263,34.0
1952,God Bless America,2011,7.2,56,62736,72.0
1953,What's Your Number?,2011,6.1,35,62668,61.0
1954,Killer Joe,2011,6.7,62,62639,67.0
1955,The Sitter,2011,5.7,39,62246,57.0
1956,Detachment,2011,7.7,52,62111,77.0
1957,A Very Harold & Kumar 3D Christmas,2011,6.3,61,58041,63.0
1958,"Jeff, Who Lives at Home",2011,6.5,60,57614,65.0
1959,The Eagle,2011,6.2,55,56649,62.0
1960,Machine Gun Preacher,2011,6.8,43,56087,68.0
1961,Red State,2011,6.2,50,55890,62.0
1962,The Devil's Double,2011,7.1,52,55749,71.0
1963,Salmon Fishing in the Yemen,2011,6.8,58,54393,68.0
1964,The Awakening,2011,6.5,53,54131,65.0
1965,Dream House,2011,6.0,35,53705,60.0
1966,Larry Crowne,2011,6.1,41,52830,61.0
1967,The Darkest Hour,2011,4.9,16,51359,49.0
1968,Like Crazy,2011,6.7,71,50845,67.0
1969,Something Borrowed,2011,5.9,36,50584,59.0
1970,Win Win,2011,7.2,75,49858,72.0
1971,The Art of Getting By,2011,6.6,36,49106,66.0
1972,Bernie,2011,6.8,75,49094,68.0
1973,Apollo 18,2011,5.2,24,48796,52.0
1974,Sanctum,2011,5.9,42,48739,59.0
1975,Zookeeper,2011,5.2,30,47573,52.0
1976,Arthur,2011,5.7,36,46892,57.0
1977,Perfect Sense,2011,7.1,55,45816,71.0
1978,Take Me Home Tonight,2011,6.3,42,45675,63.0
1979,The Dilemma,2011,5.3,46,45439,53.0
1980,Gnomeo & Juliet,2011,6.0,53,44858,60.0
1981,Grave Encounters,2011,6.1,33,43316,61.0
1982,Don 2,2011,7.1,49,42535,71.0
1983,Martha Marcy May Marlene,2011,6.9,76,42384,69.0
1984,The Beaver,2011,6.7,60,42154,67.0
1985,The Flowers of War,2011,7.6,46,41350,76.0
1986,Seeking Justice,2011,6.2,38,40476,62.0
1987,Footloose,2011,5.9,58,39693,59.0
1988,Hobo with a Shotgun,2011,6.1,55,39079,61.0
1989,Arthur Christmas,2011,7.1,69,38876,71.0
1990,Soul Surfer,2011,7.1,53,37825,71.0
1991,Friends with Kids,2011,6.2,55,37488,62.0
1992,Kill the Irishman,2011,7.1,50,37345,71.0
1993,The Big Year,2011,6.2,53,36668,62.0
1994,Trespass,2011,5.3,37,36319,53.0
1995,Ironclad,2011,6.2,42,35843,62.0
1996,Anonymous,2011,6.9,50,35830,69.0
1997,Monte Carlo,2011,5.8,43,35256,58.0
1998,Happy Feet Two,2011,5.9,50,34573,59.0
1999,Cedar Rapids,2011,6.3,70,33455,63.0
2000,Ra.One,2011,4.8,60,32962,48.0
2001,The Hunter,2011,6.8,63,32353,68.0
2002,In the Land of Blood and Honey,2011,4.4,56,31921,44.0
2003,The Divide,2011,5.8,28,31720,58.0
2004,The Dark Knight Rises,2012,8.5,78,1235878,85.0
2005,The Avengers,2012,8.1,69,1054045,81.0
2006,Django Unchained,2012,8.4,81,1052240,84.0
2007,The Hunger Games,2012,7.2,68,740969,72.0
2008,The Hobbit: An Unexpected Journey,2012,7.9,58,674014,79.0
2009,Silver Linings Playbook,2012,7.8,81,568812,78.0
2010,Skyfall,2012,7.8,81,551074,78.0
2011,Ted,2012,7.0,62,498467,70.0
2012,Prometheus,2012,7.0,65,495063,70.0
2013,Argo,2012,7.7,86,485481,77.0
2014,The Amazing Spider-Man,2012,7.0,66,479836,70.0
2015,Life of Pi,2012,7.9,79,476148,79.0
2016,Looper,2012,7.4,84,456475,74.0
2017,21 Jump Street,2012,7.2,69,436392,72.0
2018,The Perks of Being a Wallflower,2012,8.0,67,381333,80.0
2019,Cloud Atlas,2012,7.5,55,300901,75.0
2020,The Cabin in the Woods,2012,7.0,72,298988,70.0
2021,Brave,2012,7.2,69,297539,72.0
2022,Wreck-It Ralph,2012,7.7,72,294049,77.0
2023,Men in Black 3,2012,6.8,58,280422,68.0
2024,Flight,2012,7.3,76,278248,73.0
2025,Les Misérables,2012,7.6,63,259555,76.0
2026,The Expendables 2,2012,6.6,51,259218,66.0
2027,Moonrise Kingdom,2012,7.8,84,257330,78.0
2028,Jack Reacher,2012,7.0,50,253870,70.0
2029,Taken 2,2012,6.3,45,252227,63.0
2030,The Bourne Legacy,2012,6.7,61,247414,67.0
2031,Snow White and the Huntsman,2012,6.1,57,241305,61.0
2032,Pitch Perfect,2012,7.2,66,229062,72.0
2033,Zero Dark Thirty,2012,7.4,95,228346,74.0
2034,The Dictator,2012,6.4,58,227305,64.0
2035,John Carter,2012,6.6,51,222218,66.0
2036,Dredd,2012,7.1,59,215630,71.0
2037,Chronicle,2012,7.1,69,214643,71.0
2038,Total Recall,2012,6.3,43,212634,63.0
2039,Battleship,2012,5.8,41,211741,58.0
2040,Dark Shadows,2012,6.2,55,211218,62.0
2041,Lincoln,2012,7.4,86,209186,74.0
2042,The Place Beyond the Pines,2012,7.3,68,202671,73.0
2043,Seven Psychopaths,2012,7.2,66,198432,72.0
2044,Lawless,2012,7.3,58,196926,73.0
2045,The Hunt,2012,8.3,76,196041,83.0
2046,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,195857,55.0
2047,End of Watch,2012,7.7,68,194089,77.0
2048,American Reunion,2012,6.7,49,179563,67.0
2049,Hotel Transylvania,2012,7.1,47,178340,71.0
2050,Safe House,2012,6.8,52,175819,68.0
2051,Sinister,2012,6.8,53,174135,68.0
2052,Project X,2012,6.7,48,165267,67.0
2053,Wrath of the Titans,2012,5.8,37,160461,58.0
2054,The Impossible,2012,7.6,73,158408,76.0
2055,The Vow,2012,6.8,43,157768,68.0
2056,Ice Age: Continental Drift,2012,6.6,49,156407,66.0
2057,This Means War,2012,6.3,31,155646,63.0
2058,The Woman in Black,2012,6.4,62,151594,64.0
2059,Mud,2012,7.4,76,144166,74.0
2060,Abraham Lincoln: Vampire Hunter,2012,5.9,42,134211,59.0
2061,Rise of the Guardians,2012,7.3,57,132034,73.0
2062,Man on a Ledge,2012,6.6,40,129951,66.0
2063,Madagascar 3: Europe's Most Wanted,2012,6.9,60,128581,69.0
2064,Underworld Awakening,2012,6.4,39,128368,64.0
2065,Killing Them Softly,2012,6.2,64,116838,62.0
2066,Resident Evil: Retribution,2012,5.4,39,115491,54.0
2067,Spring Breakers,2012,5.3,63,115207,53.0
2068,Magic Mike,2012,6.1,72,114597,61.0
2069,The Master,2012,7.1,86,114219,71.0
2070,The Campaign,2012,6.2,50,111255,62.0
2071,This Is 40,2012,6.2,59,108841,62.0
2072,The Watch,2012,5.7,36,108748,57.0
2073,Savages,2012,6.5,59,108577,65.0
2074,Safety Not Guaranteed,2012,7.0,72,105732,70.0
2075,Contraband,2012,6.5,51,105505,65.0
2076,Premium Rush,2012,6.5,66,99495,65.0
2077,Seeking a Friend for the End of the World,2012,6.7,59,93917,67.0
2078,Safe,2012,6.5,55,88859,65.0
2079,Lockout,2012,6.1,48,85095,61.0
2080,The Lucky One,2012,6.5,39,83965,65.0
2081,Ruby Sparks,2012,7.2,67,83713,72.0
2082,The Lorax,2012,6.5,46,82526,65.0
2083,The Five-Year Engagement,2012,6.2,62,82403,62.0
2084,Frankenweenie,2012,7.0,74,79853,70.0
2085,ParaNorman,2012,7.0,72,78622,70.0
2086,Here Comes the Boom,2012,6.4,40,77210,64.0
2087,Anna Karenina,2012,6.6,63,76041,66.0
2088,Amour,2012,7.9,94,75872,79.0
2089,The Raven,2012,6.4,44,75792,64.0
2090,That's My Boy,2012,5.6,31,75171,56.0
2091,Mirror Mirror,2012,5.6,46,74063,56.0
2092,Beasts of the Southern Wild,2012,7.3,86,73371,73.0
2093,To Rome with Love,2012,6.3,54,72788,63.0
2094,Journey 2: The Mysterious Island,2012,5.8,41,72636,58.0
2095,Stuck in Love,2012,7.3,49,71172,73.0
2096,Disconnect,2012,7.6,64,65300,76.0
2097,Red Dawn,2012,5.4,31,65016,54.0
2098,Rock of Ages,2012,5.9,47,64980,59.0
2099,Wanderlust,2012,5.6,53,64842,56.0
2100,The Words,2012,7.1,37,63901,71.0
2101,Hitchcock,2012,6.8,55,63565,68.0
2102,Upside Down,2012,6.4,45,61898,64.0
2103,House at the End of the Street,2012,5.6,31,61532,56.0
2104,What to Expect When You're Expecting,2012,5.7,41,60538,57.0
2105,Act of Valor,2012,6.5,40,60312,65.0
2106,The Iceman,2012,6.9,60,59381,69.0
2107,The Man with the Iron Fists,2012,5.4,51,55362,54.0
2108,Robot & Frank,2012,7.1,67,55139,71.0
2109,The First Time,2012,6.9,55,54829,69.0
2110,Gangs of Wasseypur,2012,8.3,89,54441,83.0
2111,Paranormal Activity 4,2012,4.6,40,53821,46.0
2112,Rust and Bone,2012,7.5,73,53118,75.0
2113,Searching for Sugar Man,2012,8.2,79,52743,82.0
2114,Silent Hill: Revelation,2012,5.0,16,52468,50.0
2115,Red Lights,2012,6.2,36,51147,62.0
2116,Trouble with the Curve,2012,6.8,58,51049,68.0
2117,The Possession,2012,5.9,45,49731,59.0
2118,Frances Ha,2012,7.4,82,48896,74.0
2119,Step Up Revolution,2012,6.5,43,47859,65.0
2120,V/H/S,2012,5.8,55,47777,58.0
2121,Stand Up Guys,2012,6.5,41,47321,65.0
2122,Arbitrage,2012,6.6,73,43793,66.0
2123,Bullet to the Head,2012,5.7,48,41297,57.0
2124,The Odd Life of Timothy Green,2012,6.6,47,39558,66.0
2125,Bachelorette,2012,5.3,53,39457,53.0
2126,Cosmopolis,2012,5.0,58,39297,50.0
2127,Stolen,2012,5.5,43,38713,55.0
2128,The Collection,2012,6.1,38,38203,61.0
2129,The Imposter,2012,7.5,77,37908,75.0
2130,The Sessions,2012,7.2,79,37694,72.0
2131,Kon-Tiki,2012,7.2,62,37453,72.0
2132,A Royal Affair,2012,7.6,73,36686,76.0
2133,Think Like a Man,2012,6.6,51,36598,66.0
2134,Gone,2012,5.9,36,36410,59.0
2135,Hope Springs,2012,6.3,65,36151,63.0
2136,People Like Us,2012,7.1,49,36147,71.0
2137,One for the Money,2012,5.3,22,35883,53.0
2138,On the Road,2012,6.1,56,35219,61.0
2139,Byzantium,2012,6.5,66,34356,65.0
2140,Deadfall,2012,6.3,52,34065,63.0
2141,Piranha 3DD,2012,3.8,24,33744,38.0
2142,The Tall Man,2012,5.9,52,33316,59.0
2143,A Thousand Words,2012,5.9,26,33009,59.0
2144,The Broken Circle Breakdown,2012,7.8,71,32445,78.0
2145,Holy Motors,2012,7.1,84,32426,71.0
2146,Promised Land,2012,6.6,55,31991,66.0
2147,John Dies at the End,2012,6.4,53,31813,64.0
2148,Talaash,2012,7.3,65,31786,73.0
2149,The Guilt Trip,2012,5.8,50,31743,58.0
2150,The Devil Inside,2012,4.2,18,31619,42.0
2151,Liberal Arts,2012,6.7,55,31101,67.0
2152,The Paperboy,2012,5.8,45,30669,58.0
2153,Hit and Run,2012,6.1,50,30645,61.0
2154,The Cold Light of Day,2012,4.9,22,30498,49.0
2155,Red Tails,2012,5.9,46,29865,59.0
2156,Alex Cross,2012,5.1,30,29443,51.0
2157,Maniac,2012,6.1,47,29261,61.0
2158,[REC] 3: Genesis,2012,5.0,45,27749,50.0
2159,The Company You Keep,2012,6.4,57,27589,64.0
2160,The Act of Killing,2012,8.2,89,27093,82.0
2161,Chasing Mavericks,2012,7.2,45,26670,72.0
2162,The Three Stooges,2012,5.1,56,26590,51.0
2163,Would You Rather,2012,5.8,20,26467,58.0
2164,Compliance,2012,6.4,68,26247,64.0
2165,Celeste & Jesse Forever,2012,6.6,59,25742,66.0
2166,Playing for Keeps,2012,5.7,27,25438,57.0
2167,Erased,2012,6.1,34,24804,61.0
2168,In the House,2012,7.4,72,24329,74.0
2169,The Wolf of Wall Street,2013,8.2,75,877681,82.0
2170,Gravity,2013,7.8,96,628563,78.0
2171,Iron Man 3,2013,7.2,62,597513,72.0
2172,Man of Steel,2013,7.1,55,584547,71.0
2173,The Hunger Games: Catching Fire,2013,7.6,76,530049,76.0
2174,The Hobbit: The Desolation of Smaug,2013,7.9,66,518638,79.0
2175,World War Z,2013,7.0,63,500125,70.0
2176,Now You See Me,2013,7.3,50,497903,73.0
2177,12 Years a Slave,2013,8.1,96,493545,81.0
2178,Frozen,2013,7.5,74,457145,75.0
2179,Thor: The Dark World,2013,7.0,54,449170,70.0
2180,Prisoners,2013,8.1,74,438567,81.0
2181,Star Trek Into Darkness,2013,7.8,72,420649,78.0
2182,Oblivion,2013,7.0,54,413984,70.0
2183,Pacific Rim,2013,7.0,64,403463,70.0
2184,Her,2013,8.0,90,396361,80.0
2185,The Great Gatsby,2013,7.3,55,389717,73.0
2186,American Hustle,2013,7.3,90,382065,73.0
2187,Elysium,2013,6.6,61,362540,66.0
2188,The Wolverine,2013,6.7,60,360129,67.0
2189,Dallas Buyers Club,2013,8.0,84,356342,80.0
2190,Captain Phillips,2013,7.8,83,349497,78.0
2191,Rush,2013,8.1,75,344081,81.0
2192,We're the Millers,2013,7.0,44,337991,70.0
2193,The Conjuring,2013,7.5,68,334773,75.0
2194,This Is the End,2013,6.6,67,330737,66.0
2195,Fast & Furious 6,2013,7.1,61,321441,71.0
2196,Despicable Me 2,2013,7.4,62,309117,74.0
2197,Monsters University,2013,7.3,65,254885,73.0
2198,The Secret Life of Walter Mitty,2013,7.3,54,251952,73.0
2199,The Hangover Part III,2013,5.9,30,241939,59.0
2200,About Time,2013,7.8,55,224560,78.0
2201,Lone Survivor,2013,7.5,60,221563,75.0
2202,Kick-Ass 2,2013,6.6,41,217042,66.0
2203,Olympus Has Fallen,2013,6.5,41,216714,65.0
2204,The World's End,2013,7.0,81,203279,70.0
2205,Snowpiercer,2013,7.0,84,203085,70.0
2206,Don Jon,2013,6.6,66,201491,66.0
2207,Ender's Game,2013,6.7,51,195688,67.0
2208,Warm Bodies,2013,6.9,59,194849,69.0
2209,The Lone Ranger,2013,6.5,37,192793,65.0
2210,Escape Plan,2013,6.7,49,189843,67.0
2211,Gangster Squad,2013,6.7,40,182634,67.0
2212,Oz the Great and Powerful,2013,6.3,44,182446,63.0
2213,White House Down,2013,6.4,52,174827,64.0
2214,A Good Day to Die Hard,2013,5.3,28,174124,53.0
2215,Pain & Gain,2013,6.5,45,170345,65.0
2216,Hansel & Gretel: Witch Hunters,2013,6.1,21,169144,61.0
2217,After Earth,2013,4.9,33,167746,49.0
2218,The Internship,2013,6.3,42,167616,63.0
2219,2 Guns,2013,6.7,55,166993,67.0
2220,Blue Jasmine,2013,7.3,78,162071,73.0
2221,The Croods,2013,7.2,55,161533,72.0
2222,The Purge,2013,5.7,41,156570,57.0
2223,Side Effects,2013,7.1,75,155912,71.0
2224,G.I. Joe: Retaliation,2013,5.8,41,153266,58.0
2225,Mama,2013,6.2,57,143639,62.0
2226,The Heat,2013,6.6,60,141180,66.0
2227,Anchorman 2: The Legend Continues,2013,6.3,61,140641,63.0
2228,RED 2,2013,6.7,47,134627,67.0
2229,Evil Dead,2013,6.5,57,134313,65.0
2230,Riddick,2013,6.4,49,133156,64.0
2231,Saving Mr. Banks,2013,7.5,65,126778,75.0
2232,47 Ronin,2013,6.3,28,124462,63.0
2233,The Way Way Back,2013,7.4,68,122791,74.0
2234,Insidious: Chapter 2,2013,6.6,40,120582,66.0
2235,The Last Stand,2013,6.4,54,119493,64.0
2236,The Spectacular Now,2013,7.1,82,117470,71.0
2237,Grown Ups 2,2013,5.4,19,115763,54.0
2238,Carrie,2013,5.9,53,114254,59.0
2239,Enemy,2013,6.9,61,114170,69.0
2240,Begin Again,2013,7.4,62,113576,74.0
2241,The Mortal Instruments: City of Bones,2013,5.9,33,113185,59.0
2242,Last Vegas,2013,6.6,48,112973,66.0
2243,Jack the Giant Slayer,2013,6.3,51,112599,63.0
2244,The Book Thief,2013,7.6,53,107518,76.0
2245,Inside Llewyn Davis,2013,7.4,92,107250,74.0
2246,Before Midnight,2013,7.9,94,106054,79.0
2247,Blue Is the Warmest Color,2013,7.8,88,104863,78.0
2248,Identity Thief,2013,5.7,35,103836,57.0
2249,Locke,2013,7.1,81,102364,71.0
2250,Trance,2013,7.0,61,98061,70.0
2251,R.I.P.D.,2013,5.6,25,97829,56.0
2252,The Host,2013,5.9,35,97591,59.0
2253,Nebraska,2013,7.7,86,96847,77.0
2254,Parker,2013,6.2,42,96577,62.0
2255,Under the Skin,2013,6.3,78,96195,63.0
2256,The Call,2013,6.7,51,94212,67.0
2257,Lee Daniels' The Butler,2013,7.2,66,93982,72.0
2258,Oculus,2013,6.5,61,93974,65.0
2259,The Family,2013,6.3,42,93905,63.0
2260,Percy Jackson: Sea of Monsters,2013,5.9,39,92694,59.0
2261,Nymphomaniac: Vol. I,2013,7.0,64,91901,70.0
2262,Only God Forgives,2013,5.7,37,90712,57.0
2263,Epic,2013,6.7,52,89859,67.0
2264,Stoker,2013,6.8,58,89733,68.0
2265,Out of the Furnace,2013,6.8,63,89644,68.0
2266,Homefront,2013,6.5,40,89267,65.0
2267,Safe Haven,2013,6.7,34,85896,67.0
2268,The Counsellor,2013,5.3,48,85594,53.0
2269,Movie 43,2013,4.3,18,84431,43.0
2270,Filth,2013,7.1,56,82551,71.0
2271,Jobs,2013,5.9,44,82247,59.0
2272,Philomena,2013,7.6,77,81656,76.0
2273,Bad Grandpa,2013,6.6,54,81055,66.0
2274,The Best Offer,2013,7.8,49,79375,78.0
2275,August: Osage County,2013,7.2,58,72574,72.0
2276,Beautiful Creatures,2013,6.2,52,72497,62.0
2277,The Bling Ring,2013,5.6,66,71914,56.0
2278,Cloudy with a Chance of Meatballs 2,2013,6.5,59,70417,65.0
2279,42,2013,7.5,62,70242,75.0
2280,Only Lovers Left Alive,2013,7.3,79,69410,73.0
2281,Snitch,2013,6.5,51,68608,65.0
2282,Coherence,2013,7.2,65,68338,72.0
2283,Broken City,2013,6.2,49,66929,62.0
2284,Nymphomaniac: Vol. II,2013,6.7,60,66893,67.0
2285,Turbo,2013,6.5,58,66772,65.0
2286,The Kings of Summer,2013,7.2,61,66393,72.0
2287,Delivery Man,2013,6.4,44,64238,64.0
2288,21 & Over,2013,5.9,34,64052,59.0
2289,All Is Lost,2013,6.9,87,63650,69.0
2290,Machete Kills,2013,5.6,41,63260,56.0
2291,The Incredible Burt Wonderstone,2013,5.9,44,63191,59.0
2292,Short Term 12,2013,8.0,82,63178,80.0
2293,The Great Beauty,2013,7.7,86,62214,77.0
2294,Horns,2013,6.5,46,61848,65.0
2295,Dark Skies,2013,6.3,50,61217,63.0
2296,Fruitvale Station,2013,7.5,85,59098,75.0
2297,Europa Report,2013,6.5,68,57275,65.0
2298,Dead Man Down,2013,6.5,39,57237,65.0
2299,What If,2013,6.8,59,56221,68.0
2300,Redemption,2013,6.2,43,55700,62.0
2301,Old Boy,2013,5.8,49,55366,58.0
2302,Runner Runner,2013,5.6,36,54686,56.0
2303,Scary Movie 5,2013,3.5,11,53583,35.0
2304,Enough Said,2013,7.1,78,51810,71.0
2305,Blackfish,2013,8.1,83,50509,81.0
2306,The Wind Rises,2013,7.8,83,50309,78.0
2307,Blue Ruin,2013,7.1,77,50121,71.0
2308,Grudge Match,2013,6.4,35,49559,64.0
2309,Drinking Buddies,2013,6.1,71,49039,61.0
2310,The Frozen Ground,2013,6.4,37,46579,64.0
2311,The East,2013,6.8,68,44054,68.0
2312,Bad Words,2013,6.7,57,40609,67.0
2313,The Big Wedding,2013,5.6,28,40117,56.0
2314,Chennai Express,2013,6.0,45,39941,60.0
2315,Ida,2013,7.4,91,39341,74.0
2316,Odd Thomas,2013,6.9,45,39101,69.0
2317,The Double,2013,6.5,68,39078,65.0
2318,Joe,2013,6.9,74,39013,69.0
2319,The Zero Theorem,2013,6.1,50,37843,61.0
2320,The Colony,2013,5.3,28,37320,53.0
2321,Planes,2013,5.8,39,36910,58.0
2322,A Haunted House,2013,5.1,20,36638,51.0
2323,The Past,2013,7.8,85,36575,78.0
2324,Dhoom 3,2013,5.4,61,36497,54.0
2325,The Lunchbox,2013,7.8,76,36004,78.0
2326,Starred Up,2013,7.4,81,35073,74.0
2327,Labor Day,2013,6.9,52,34518,69.0
2328,Lovelace,2013,6.2,51,32967,62.0
2329,The Fifth Estate,2013,6.2,49,32051,62.0
2330,Interstellar,2014,8.6,74,1067149,86.0
2331,Guardians of the Galaxy,2014,8.1,76,773313,81.0
2332,Gone Girl,2014,8.1,79,646247,81.0
2333,X-Men: Days of Future Past,2014,8.0,74,558933,80.0
2334,Captain America: The Winter Soldier,2014,7.8,70,550402,78.0
2335,The Grand Budapest Hotel,2014,8.1,88,538891,81.0
2336,The Imitation Game,2014,8.1,73,538437,81.0
2337,Whiplash,2014,8.5,88,488497,85.0
2338,Edge of Tomorrow,2014,7.9,71,478607,79.0
2339,Kingsman: The Secret Service,2014,7.7,58,447083,77.0
2340,Birdman or (The Unexpected Virtue of Ignorance),2014,7.8,88,446697,78.0
2341,The Hobbit: The Battle of the Five Armies,2014,7.4,59,390707,74.0
2342,Divergent,2014,6.7,48,365518,67.0
2343,American Sniper,2014,7.3,72,357549,73.0
2344,Lucy,2014,6.4,61,357247,64.0
2345,The Amazing Spider-Man 2,2014,6.7,53,347564,67.0
2346,Ex Machina,2014,7.7,78,346473,77.0
2347,Dawn of the Planet of the Apes,2014,7.6,79,345283,76.0
2348,John Wick,2014,7.3,68,341485,73.0
2349,The Maze Runner,2014,6.8,57,339372,68.0
2350,Nightcrawler,2014,7.9,76,338685,79.0
2351,Fury,2014,7.6,64,336248,76.0
2352,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,336120,67.0
2353,Godzilla,2014,6.4,62,320848,64.0
2354,Big Hero 6,2014,7.8,74,313927,78.0
2355,The Theory of Everything,2014,7.7,72,303759,77.0
2356,Boyhood,2014,7.9,100,289432,79.0
2357,22 Jump Street,2014,7.1,71,283947,71.0
2358,The Fault in Our Stars,2014,7.8,69,274952,78.0
2359,Maleficent,2014,7.0,56,271689,70.0
2360,The Lego Movie,2014,7.8,83,270442,78.0
2361,The Interview,2014,6.6,52,263734,66.0
